,Price,PrivPer,F,G,H,J,K,Age,Mileage,Dispacement,Diesel,LPG,Doors5,FirstOwner,ServDealership,ABS,ElecWin,PowSteer,ParkingSens,MultiSteer,AAWheels,CruContr,OnBoardComp,Native
54,9800.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,326000.0,1900.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,28900.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,90000.0,1400.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
56,13000.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,196000.0,1700.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,16900.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,184300.0,1700.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
59,15100.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,208000.0,1686.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
60,5250.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,219322.0,1598.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,11200.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,249000.0,1900.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
62,26500.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,228100.0,1700.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
63,5900.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,170000.0,1400.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,12500.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,162000.0,1400.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
65,19900.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,187000.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
